id,concept,parent_id:id
"jt_conac.1","Flujos de Efectivo de las Actividades de Operación",""
"jt_conac.2","Origen","jt_conac.1"
"jt_conac.3","Impuestos","jt_conac.2"
"jt_conac.4","Cuotas y Aportaciones de Seguridad Social","jt_conac.2"
"jt_conac.5","Contribuciones de Mejoras","jt_conac.2"
"jt_conac.6","Derechos","jt_conac.2"
"jt_conac.7","Productos","jt_conac.2"
"jt_conac.8","Aprovechamientos","jt_conac.2"
"jt_conac.9","Ingresos por Venta de Bienes y Prestación de Servicios","jt_conac.2"
"jt_conac.10","Participaciones, Aportaciones, Convenios, Incentivos Derivados de la Colaboración Fiscal y Fondos Distintos de Aportaciones","jt_conac.2"
"jt_conac.11","Transferencias, Asignaciones, Subsidios y Subvenciones, y Pensiones y Jubilaciones","jt_conac.2"
"jt_conac.12","Otros Orígenes de Operación","jt_conac.2"
"jt_conac.13","Aplicación","jt_conac.1"
"jt_conac.14","Servicios Personales","jt_conac.13"
"jt_conac.15","Materiales y Suministros","jt_conac.13"
"jt_conac.16","Servicios Generales","jt_conac.13"
"jt_conac.17","Transferencias Internas y Asignaciones al Sector Público","jt_conac.13"
"jt_conac.18","Transferencias al resto del Sector Público","jt_conac.13"
"jt_conac.19","Subsidios y Subvenciones","jt_conac.13"
"jt_conac.20","Ayudas Sociales","jt_conac.13"
"jt_conac.21","Pensiones y Jubilaciones","jt_conac.13"
"jt_conac.22","Transferencias a Fideicomisos, Mandatos y Contratos Análogos","jt_conac.13"
"jt_conac.23","Transferencias a la Seguridad Social","jt_conac.13"
"jt_conac.24","Donativos","jt_conac.13"
"jt_conac.25","Transferencias al Exterior","jt_conac.13"
"jt_conac.26","Participaciones","jt_conac.13"
"jt_conac.27","Aportaciones","jt_conac.13"
"jt_conac.28","Convenios","jt_conac.13"
"jt_conac.29","Otras Aplicaciones de Operación","jt_conac.13"
"jt_conac.30","Flujos de Efectivo de las Actividades de Inversión",""
"jt_conac.31","Origen","jt_conac.30"
"jt_conac.32","Bienes Inmuebles, Infraestructura y Construcciones en Proceso","jt_conac.31"
"jt_conac.33","Bienes Muebles","jt_conac.31"
"jt_conac.34","Otros Orígenes de Inversión","jt_conac.31"
"jt_conac.35","Aplicación","jt_conac.30"
"jt_conac.36","Bienes Inmuebles, Infraestructura y Construcciones en Proceso","jt_conac.35"
"jt_conac.37","Bienes Muebles","jt_conac.35"
"jt_conac.38","Otras Aplicaciones de Inversión","jt_conac.35"
"jt_conac.39","Flujo de Efectivo de las Actividades de Financiamiento",""
"jt_conac.40","Origen","jt_conac.39"
"jt_conac.41","Endeudamiento Neto","jt_conac.40"
"jt_conac.42","Interno","jt_conac.40"
"jt_conac.43","Externo","jt_conac.40"
"jt_conac.44","Otros Orígenes de Financiamiento","jt_conac.40"
"jt_conac.45","Aplicación","jt_conac.39"
"jt_conac.46","Servicios de la Deuda","jt_conac.45"
"jt_conac.47","Interno","jt_conac.45"
"jt_conac.48","Externo","jt_conac.45"
"jt_conac.49","Otras Aplicaciones de Financiamiento","jt_conac.45"