id,denomination,currency_id:id,country_id:id,init_balance,end_balance,parent_id:id
"jt_conac.1","DEUDA PÚBLICA","","","","",""
"jt_conac.2","Corto Plazo","","","","","jt_conac.1"
"jt_conac.3","Deuda Interna","","","","","jt_conac.2"
"jt_conac.4","Instituciones de Crédito","","","","","jt_conac.3"
"jt_conac.5","Títulos y Valores","","","","","jt_conac.3"
"jt_conac.6","Arrendamientos Financieros","","","","","jt_conac.3"
"jt_conac.7","Deuda Externa","","","","","jt_conac.2"
"jt_conac.8","Organismos Financieros Internacionales","","","","","jt_conac.7"
"jt_conac.9","Deuda Bilateral","","","","","jt_conac.7"
"jt_conac.10","Títulos y Valores","","","","","jt_conac.7"
"jt_conac.11","Arrendamientos Financieros","","","","","jt_conac.7"
"jt_conac.12","Largo Plazo","","","","","jt_conac.1"
"jt_conac.13","Deuda Interna","","","","","jt_conac.12"
"jt_conac.14","Instituciones de Crédito","","","","","jt_conac.13"
"jt_conac.15","Títulos y Valores","","","","","jt_conac.13"
"jt_conac.16","Arrendamientos Financieros","","","","","jt_conac.13"
"jt_conac.17","Deuda Externa","","","","","jt_conac.12"
"jt_conac.18","Organismos Financieros Internacionales","","","","","jt_conac.17"
"jt_conac.19","Deuda Bilateral","","","","","jt_conac.17"
"jt_conac.20","Títulos y Valores","","","","","jt_conac.17"
"jt_conac.21","Arrendamientos Financieros","","","","","jt_conac.17"
"jt_conac.22","Otros Pasivos","","","","","jt_conac.1"