id,code,concept,approved_amt,ext_and_red_amt,modified_amt,accrued_amt,paid_out_amt,sub_exercise,parent_id:id
"jt_conac.1","1.0.0.0","Programas",,,,,,,
"jt_conac.2","1.1.0.0","DOCENCIA NIVEL SUPERIOR",,,,,,,jt_conac.1
"jt_conac.3","1.1.1.0","Educación de Licenciatura",,,,,,,jt_conac.2
"jt_conac.4","1.1.1.1","Educación de Posgrado","","","","","","","jt_conac.2"
"jt_conac.5","1.1.1.2","Educación Continua, Abierta y a Distancia","","","","","","","jt_conac.2"
"jt_conac.6","1.1.1.3","Desarrollo Académico en Nivel Superior","","","","","","","jt_conac.2"
"jt_conac.7","1.1.1.4","Servicios de Apoyo Administrativo en Nivel Superior","","","","","","","jt_conac.2"
"jt_conac.8","1.2.0.0","DOCENCIA NIVEL BACHILLERATO","","","","","","","jt_conac.1"
"jt_conac.9","1.2.1.0","Educación Media Superior","","","","","","","jt_conac.8"
"jt_conac.10","1.2.1.1","Desarrollo Académico en Nivel Bachillerato","","","","","","","jt_conac.8"
"jt_conac.11","1.2.1.2","Servicios de Apoyo Administrativo en Nivel Bachillerato","","","","","","","jt_conac.8"
"jt_conac.12","1.3.0.0","INVESTIGACIÓN","","","","","","","jt_conac.1"
"jt_conac.13","1.3.1.0","Investigación en Ciencias y Desarrollo Tecnológico","","","","","","","jt_conac.12"
"jt_conac.14","1.3.1.1","Investigación en Humanidades y Ciencias Sociales","","","","","","","jt_conac.12"
"jt_conac.15","1.3.1.2","Desarrollo Académico en Investigación","","","","","","","jt_conac.12"
"jt_conac.16","1.3.1.3","Servicios de Apoyo Administrativo en Investigación","","","","","","","jt_conac.12"
"jt_conac.17","1.4.0.0","EXTENSIÓN UNIVERSITARIA","","","","","","","jt_conac.1"
"jt_conac.18","1.4.1.0","Extensión y Difusión Cultural","","","","","","","jt_conac.17"
"jt_conac.19","1.4.1.1","Vinculación con la Sociedad","","","","","","","jt_conac.17"
"jt_conac.20","1.4.1.2","Servicios de Apoyo Administrativo para Extensión y Difusión Cultural","","","","","","","jt_conac.17"
"jt_conac.21","1.5.0.0","GESTIÓN INSTITUCIONAL","","","","","","","jt_conac.1"
"jt_conac.22","1.5.1.0","Planeación y Normatividad","","","","","","","jt_conac.21"
"jt_conac.23","1.5.1.1","Prestaciones Institucionales","","","","","","","jt_conac.21"
"jt_conac.24","1.5.1.2","Servicios Administrativos Institucionales","","","","","","","jt_conac.21"
"jt_conac.25","1.5.1.3","Vigilancia y Fiscalización","","","","","","","jt_conac.21"
"jt_conac.26","1.5.1.4","Servicios de Apoyo a la Comunidad","","","","","","","jt_conac.21"
"jt_conac.27","1.6.0.0","Participaciones a entidades federativas y municipios","","","","","","",""
"jt_conac.28","1.7.0.0","Costo financiero, deuda o apoyos a deudores y ahorradores de la banca","","","","","","",""
"jt_conac.29","1.8.0.0","Adeudos de ejercicios fiscales anteriores","","","","","","",""